기간	대분류	분류	경제적 여건	교육 환경	교통 여건	자녀육아 및 양육	거주안정성/주변치안	재테크 수단	공원 및 녹지여건	편익/위락시설	해당 지역의 이미지	기타
2017	지역대분류	동남권	48	9	20.5	3.4	5.4	4.6	2.8	3.8	2.4	0
2017	종로구	종로구	46.4	6.9	17.4	2.4	2.9	11.4	4.2	5.1	3.2	-
2017	중구	중구	53	3.3	23.2	3.1	1.6	3.3	3.9	5	3.7	-
2017	용산구	용산구	55.8	6.5	15.9	1.7	4.1	6.8	2.1	4.2	2.9	-
2017	성동구	성동구	46.5	5.4	24.4	5.8	5.5	5.6	1.6	3.4	2	-
2017	광진구	광진구	54.5	6	20.1	3.4	4	2.9	3.3	3.4	2.4	-
2017	동대문구	동대문구	70.6	2.6	17.4	2.2	2.5	0.8	1.1	2.2	0.7	-
2017	중랑구	중랑구	55.9	8.2	16.9	3.5	3.8	1.2	4.7	4.7	1.1	-
2017	성북구	성북구	36.1	6.9	24.1	5.3	4.2	7.2	4.6	7.1	4.6	-
2017	강북구	강북구	45.2	6.5	16.3	3.2	6.1	4.5	6	7.8	4.6	-
2017	도봉구	도봉구	47.4	7.8	19.3	3.3	5.6	4	3.3	6.8	2.4	-
2017	노원구	노원구	51.1	6.5	21.8	3.4	7.8	2.3	3.2	2.2	1.7	-
2017	은평구	은평구	60.9	6.8	17.5	2.9	4.9	1.4	1.2	3.9	0.5	-
2017	서대문구	서대문구	54.2	3.5	19.5	1.9	3.1	7.5	1.4	3.1	5.7	-
2017	마포구	마포구	49.2	6.2	12.3	6.1	4.6	4.5	5.2	7.6	4.2	-
2017	양천구	양천구	52.6	5.4	21	3.1	8.9	2.5	1.8	4	0.7	-
2017	강서구	강서구	67.2	3.6	16.6	2	5.1	1.9	0.7	1.9	1.1	-
2017	구로구	구로구	43.2	7.7	25.4	3.9	5.2	2.7	4.7	4.1	3	-
2017	금천구	금천구	46.6	8.4	16.9	2.4	6.1	1.2	6.1	9.9	2.3	-
2017	영등포구	영등포구	44.1	7.6	24.9	7.7	1.4	3.1	4.4	4.1	2.8	-
2017	동작구	동작구	34.1	4.4	25.5	3.5	1.3	6.8	5	17.6	1.6	-
2017	관악구	관악구	47.8	6.2	30	3.7	3.1	3.2	2	2.6	1.3	-
2017	서초구	서초구	61	8.8	16.5	3.1	2.2	3.5	1.3	2.2	1.2	-
2017	강남구	강남구	37.6	9.9	25.4	3.6	7	3.8	2.8	6.1	3.8	0
2017	송파구	송파구	48.9	8.3	15.1	4.5	6.3	7.8	3	4.4	1.8	-
2017	강동구	강동구	47.4	8.9	25.9	1.9	5.2	2.2	4.2	1.7	2.6	-
