도서관명,구명,주소,위도,경도
방이1동새마을문고,송파구,서울특별시 송파구 위례성대로16길 22 방이1동주민센터 2층 ,37.51097748,127.1239065
방이2동새마을문고(방이2동작은도서관),송파구,서울특별시 송파구 백제고분로 495 방이2동주민센터 1층 ,37.51455243,127.1144492
쁘레네작은도서관별찌,송파구,서울특별시 송파구 오금로46길 11 2층 202호,37.49593438,127.1359566
삼전동새마을문고(삼학사작은도서관),송파구,서울특별시 송파구 백제고분로 236 삼전동주민센터 2층 ,37.50684121,127.0912943
새비전도서관,송파구,서울특별시 송파구 거마로7길 44(거여동) 2층,37.49775174,127.1414889
서울동부지방법원도서실,송파구,서울특별시 송파구 법원로 101 서울동부지방법원 5층,37.48349409,127.1197511
서울역사편찬원서울역사자료실,송파구,서울특별시 송파구 올림픽로 424 올림픽공원 내,37.51889593,127.115509
서울특별시교육청송파도서관,송파구,서울특별시 송파구 동남로 263,37.49999503,127.1348515
소나무언덕1호작은도서관,송파구,서울특별시 송파구 올림픽로47길9 3층,37.52781185,127.1173554
소나무언덕2호작은도서관,송파구,서울특별시 송파구 석촌호수로 155,37.5072682,127.0942189
소나무언덕3호작은도서관,송파구,서울특별시 송파구 성내천로 319,37.49233228,127.1566451
소나무언덕4호작은도서관,송파구,서울특별시 송파구 송이로 34 구 송파2동치안센터,37.50221953,127.1168475
소나무언덕잠실본동작은도서관,송파구,서울특별시 송파구 탄천동로 205 (잠실동 306번지) 잠실빗물펌프장 관사동,37.50309253,127.0788491
송파 꿈꾸는 작은도서관,송파구,서울특별시 송파구 동남로 341 송파레미니스 2단지 주민공동시설 1의 2층 ,37.5066307,127.1352373
송파1동새마을문고,송파구,서울특별시 송파구 백제고분로392 송파1동주민센터 2층 ,37.50625438,127.1093064
송파2동새마을문고,송파구,서울특별시 송파구 송이로 32 송파2동주민센터 2층,37.50231606,127.1167353
송파글마루도서관,송파구,서울특별시 송파구 충민로 120,37.4808353,127.1304785
송파꿈에그린작은도서관,송파구,서울특별시 송파구 위례광장로 121 2401동 1층,37.47475906,127.1392698
송파어린이도서관,송파구,서울특별시 송파구 올림픽로 105 (잠실동 19-6),37.51210257,127.0823945
송파어린이영어작은도서관,송파구,서울특별시 송파구 오금로 1(신천동) 신천빗물펌프장 4~5층,37.5223926,127.102983
송파위례도서관,송파구,서울특별시 송파구 장지동 위례광장로 210 위례동복합청사 4 5층,37.48116507,127.1439372
송파파크데일1단지도서관,송파구,서울특별시 송파구 성내천로37길 37 송파파크데일1단지 582,37.49847753,127.1598321
송파한라비발디작은도서관(위례22단지),송파구,서울특별시 송파구 위례광장로 163 아파트관리사무소 아파트 관리사무소(위례동 주민센터 옆),37.47966715,127.1393219
스토리빈작은도서관,송파구,서울특별시 송파구 중대로 56 국제빌딩 2층 203호 ,37.49118233,127.1151209
스토리지작은영어도서관,송파구,서울특별시 송파구 문정로13길 15 102,37.4942737,127.134902
쌍용북카페,송파구,서울특별시 송파구 동남로 193 가락쌍용아파트 140,37.49662157,127.1276262
아름다운꿈작은도서관,송파구,서울특별시 송파구 마천로 305 3층 3층,37.49579305,127.1499774
예꿈틀어린이도서관,송파구,서울특별시 송파구 오금로46길 28 중원빌딩3층 ,37.49526348,127.1343478
예인작은도서관,송파구,서울특별시 송파구 문정로11길 16 신안빌라상가 2층 201호 ,37.57174834,126.8232974
오금동새마을문고(오동나무작은도서관),송파구,서울특별시 송파구 중대로25길 5 오금동주민센터 2층 ,37.50471274,127.1418199
오륜동새마을문고,송파구,서울특별시 송파구 양재대로 1232 오륜동주민센터 3층 ,37.51544723,127.1343264
올리브트리영어작은도서관,송파구,서울특별시 송파구 오금로46길 9 베스트빌딩303호,37.49623338,127.1361093
우리 작은도서관,송파구,서울특별시 송파구 마천로41길17 3층(영흥교회) 3층,37.4972446,127.1474438
울산의대아산의학도서관,송파구,서울특별시 송파구 올림픽로43길 88 아산병원 아산교육연구관 내,37.52636373,127.1079574
은송愛書家작은도서관,송파구,서울특별시 송파구 올림픽로49길 8 지하1층 ,37.53049393,127.1195898
이사랑나눔도서관,송파구,서울특별시 송파구 마천로 291(마천동) 거여제일교회 마천빌딩 3층,37.4968489,127.1488513
잠실3동새마을문고,송파구,서울특별시 송파구 잠실로 51-29 잠실3동주민센터 2층 ,37.51330132,127.0941042
잠실4동새마을문고,송파구,서울특별시 송파구 올림픽로35길 16 잠실4동주민센터 2층 ,37.52015847,127.1122307
잠실6동새마을문고(장미마을작은도서관),송파구,서울특별시 송파구 올림픽로35길 120 잠실6동주민센터 3층 ,37.51811765,127.1006386
잠실7동새마을문고,송파구,서울특별시 송파구 올림픽로4길 17 송파문화원 1층 ,37.50867282,127.0770893
잠실본동새마을문고,송파구,서울특별시 송파구 백제고분로15길 9 잠실본동주민센터 1층 ,37.50614091,127.084327
잠실참좋은작은도서관,송파구,서울특별시 송파구 올림픽로 145 리센츠상가 5층 22호 ,37.51198105,127.0870421
장지동새마을문고,송파구,서울특별시 송파구 새말로19길 6 장지동주민센터 2층 ,37.48696736,127.1324391
주님의교회문고,송파구,서울특별시 송파구 올림픽로4길 16 주님의 교회 5층 ,37.50921317,127.0725773
즐거운가작은도서관,송파구,서울특별시 송파구 새말로 149-1(문정동) 지층,37.48437945,127.1301255
지샘터올림픽공원도서관,송파구,서울특별시 송파구 올림픽로 424(방이동) 스포츠비즈홀 1층,37.51225244,127.1135035
참벗영어작은도서관,송파구,서울특별시 송파구 백제고분로46길 20 3층,37.50775208,127.1131965
참좋은작은도서관,송파구,서울특별시 송파구 송이로 26길 16-68 지층,37.49359948,127.1222042
책과의어울림금호작은도서관,송파구,서울특별시 송파구 송파대로 32길 15 금호아파트 106동 1층(가락동),37.49590903,127.1168819
책읽는나무의자,송파구,서울특별시 송파구 토성로19길 7 지하,37.52928979,127.1179357
푸른도서관,송파구,서울특별시 송파구 위례광장로 185,37.50108096,126.9336234
풍납1동새마을문고(바람드리작은도서관),송파구,서울특별시 송파구 천호대로152길 7 풍납1동주민센터 솔바람복지관1층,37.53806987,127.1220726
하늘꿈작은도서관,송파구,서울특별시 송파구 오금로 473,37.54902225,126.8344231
하품작은도서관,송파구,서울특별시 송파구 새말로 6길 5 송파교회(문정동71-5) ,37.4822534,127.1239427
한국근현대사작은도서관,송파구,서울특별시 송파구 중대로20길 51 지하1층,37.49615684,127.1306745
한성백제박물관정보자료실,송파구,서울특별시 송파구 위례성대로 71 한성백제박물관 지하2층,37.5154282,127.1208007
한아람작은도서관,송파구,서울특별시 송파구 성내천로47길 38 송파파크데일2단지 607,37.4965529,127.1577896
헬리오시티작은도서관,송파구,서울특별시 송파구 송파대로 345 (407동 지하 관리사무소옆 에듀존)  지하,37.4984398,127.1062278
7단지 작은도서관,양천구,서울특별시 양천구 목동로 212(목동) ,37.52816409,126.867022
EL영어작은도서관,양천구,서울특별시 양천구 남부순환로57길 2 4층,37.5330206,126.828726
K-Culture 작은도서관,양천구,서울특별시 양천구 목동로3길 57 ,37.5104483,126.8618164
갈산도서관,양천구,서울특별시 양천구 목동남로4길 48,37.50898517,126.8671394
강서성결 어린이도서관,양천구,서울특별시 양천구 월정로19길 11(신월동) ,37.52889327,126.8376663
강서제일 어린이 도서관,양천구,서울특별시 양천구 화곡로10길 19(신월동) ,37.53788877,126.8314886
개울건강도서관,양천구,서울특별시 양천구 중앙로52길 56,37.52597157,126.8565997
고맙습니다 신정3동 작은도서관,양천구,서울특별시 양천구 중앙로 209 신정3동주민센터 2층,37.51515003,126.8547908
고운달작은도서관,양천구,서울특별시 양천구 곰달래로1길 38 신월1동주민센터 2층,37.5327627,126.8293463
고운맘작은도서관,양천구,서울특별시 양천구 중앙로53길 47 신월2동주민센터 2층,37.5226094,126.8454888
그루터기,양천구,서울특별시 양천구 신정이펜2로 55 ,37.5399609,126.8249719
글로벌 꿈꾸는 작은도서관,양천구,서울특별시 양천구 지양로2길 30  ,37.5193298,126.8349702
글바라기 (이펜1),양천구,서울특별시 양천구 신정이펜1로 99(신정동) ,37.51017141,126.8299397
기쁨을나누는작은도서관,양천구,서울특별시 양천구 월정로 62(신월동) ,37.52517302,126.841513
꿈꾸는도서관,양천구,서울특별시 양천구 신월로24길 19 상아아름아파트 B101,37.57267143,127.0467838
꿈자람작은도서관,양천구,서울특별시 양천구 목동중앙남로16나길 55 목3동주민센터 2층,37.5447082,126.862234
넓은들 작은도서관,양천구,서울특별시 양천구 남부순환로88길 5-7 현장민원실 1층,37.51143648,126.8415149
달마을작은도서관,양천구,서울특별시 양천구 목동중앙본로 120 목2동주민센터 2층,37.54614282,126.8717009
달빛마을작은도서관,양천구,서울특별시 양천구 남부순환로54길 5 신월3동주민센터 2층,37.5336237,126.8269021
마을도서관 (학마을2단지) - 장기휴관,양천구,서울특별시 양천구 신정로14길 1(신정동) ,37.5097494,126.8456957
마을속 도서관 나무그늘 (이펜3),양천구,서울특별시 양천구 신정이펜1로 50(신정동) ,37.51355896,126.8302587
목1동도서방,양천구,서울특별시 양천구 목동서로 192 목1동주민센터 2층,37.5303191,126.8690565
목마교육도서관,양천구,서울특별시 양천구 목동서로 41 목5동주민센터,37.54250898,126.8721113
미감도서관,양천구,서울특별시 양천구 목동중앙남로 57-10(목동) 목사랑시장고객주차장 및 공유센터 3층,37.53896815,126.8654892
방송통신심의위원회자료실,양천구,서울특별시 양천구 목동동로 233 한국방송회관 17층 자료실,37.54111713,126.8690978
방아다리문학도서관,양천구,서울특별시 양천구 화곡로4길 10,37.53858309,126.8271748
사랑방문고 (이펜5),양천구,서울특별시 양천구 신정이펜1로 27(신정동) ,37.51093167,126.8330706
새희망작은도서관,양천구,서울특별시 양천구 지양로 96(신월동) ,37.52345413,126.8319612
생명샘 작은도서관,양천구,서울특별시 양천구 목동중앙본로3길 10(목동) ,37.5391555,126.8688116
서울특별시교육청양천도서관,양천구,서울특별시 양천구 목동서로 113,37.53349939,126.8757691
숲 속 북카페,양천구,서울특별시 양천구 신정로 110(신정동) ,37.5060181,126.8360553
신월6동도서방,양천구,서울특별시 양천구 신남3길 6 신월6동주민센터,37.51454576,126.8409607
신월7동도서방,양천구,서울특별시 양천구 남부순환로70길 16-3 신월7동주민센터 남부순환로 70길 16-3,37.52187649,126.8347047
신월음악도서관,양천구,서울특별시 양천구 오목로5길 34,37.5246975,126.8400821
신정1동그린나래작은도서관,양천구,서울특별시 양천구 중앙로32길 1 신정1동주민센터 중앙로 32길 1,37.51857583,126.8542882
신정6동도서방,양천구,서울특별시 양천구 목동서로 353 목동서로 353,37.51706003,126.8643908
신정7동도서방,양천구,서울특별시 양천구 목동동로 37 목동동로 37,37.51439926,126.8596715
아인어린이작은도서관,양천구,서울특별시 양천구 신정로 13길 21 3층 ,37.51130148,126.8425705
양천영어특성화도서관,양천구,서울특별시 양천구 목동동로 81 해누리타운 7층 양천영어도서관 및 영어체험센터,37.5159767,126.8638554
에듀카페맘,양천구,서울특별시 양천구 월정로48길 15-2 12층,37.54147786,126.8325921
연세 작은도서관,양천구,서울특별시 양천구 오목로 64-3(신월동) 2층,37.5222123,126.8425049
은행정책마당,양천구,서울특별시 양천구 오목로 110 2층,37.52364872,126.8496732
이레작은도서관,양천구,서울특별시 양천구 목동중앙남로 57-7 ,37.53872766,126.865706
작은도서관내일새싹,양천구,서울특별시?양천구?월정로50길?6(신월동) ,37.54163378,126.8306798
종이비행기작은도서관,양천구,서울특별시 강서구 남부순환로19길 50 202호,37.5465825,126.8242049
