"개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","전화번호","소재지면적","소재지우편번호","지번주소","도로명주소","도로명우편번호","사업장명","최종수정일자","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보(X)","좌표정보(Y)","의료기관종별명","의료인수","입원실수","병상수","총면적","진료과목내용","진료과목내용명","지정취소일자","완화의료지정형태","완화의료담당부서명","구급차특수","구급차일반","총인원","구조사수","허가병상수","최초지정일자"
"3180000","PHMA319003180034041300001","19000101","","01","영업/정상","13","영업중","","","","","02-820-4195","","","서울특별시 영등포구 신길동 산 159번지 1호","서울특별시 영등포구 여의대방로43길 13 (신길동 서울지방병무청)","07360","병무청중앙신체검사소","20151130162052","I","2018-08-31 23:59:59.0","","192716.932289278    ","444779.980000876    ","병무청","1","0","0","0","101","내과","","","","0","0","","","0",""
"3180000","PHMA319703180034041300001","19700820","","01","영업/정상","13","영업중","","","","","2588-9090","","","서울특별시 영등포구 신길동 산 159번지 1호","서울특별시 영등포구 여의대방로43길 13 (신길동 서울지방병무청)","07360","서울지방병무청","20151130161901","I","2018-08-31 23:59:59.0","","192716.932289278    ","444779.980000876    ","병무청","1","0","0","0","101","내과","","","","0","0","","","0",""
"3180000","PHMA319773180034041300002","19771206","","01","영업/정상","13","영업중","","","","","02-3779-6895","","150996","서울특별시 영등포구 여의도동 16번지 1호","서울특별시 영등포구 은행로 38 (여의도동)","07242","한국수출입은행부속의원","20190524110235","U","2019-05-26 02:40:00.0","","193159.124448371    ","447376.605815263    ","부속의원","1","0","0","0","101","내과","","","","0","0","","","0",""
"3180000","PHMA319803180034041300001","19800126","","01","영업/정상","13","영업중","","","","","02-2219-1123","","150996","서울특별시 영등포구 여의도동 16번지 1호","서울특별시 영등포구 은행로 38 (여의도동)","07242","한국수출입은행부속치과의원","20170228161534","I","2018-08-31 23:59:59.0","","193159.124448371    ","447376.605815263    ","부속의원","1","0","0","0","411 410 409 408 407 406 405 404 403 402","구강악안면외과 치과보철과 치과교정과 소아치과 치주과 치과보존과 구강내과 영상치의학과 구강병리과 예방치과","","","","0","0","","","0",""
"3180000","PHMA319923180034041300001","19920121","","01","영업/정상","13","영업중","","","","","02-789-8564","","150896","서울특별시 영등포구 여의도동 60번지 지하2층","서울특별시 영등포구 63로 50 (여의도동)","07345","한화생명보험(주)본사 부속의원","20191226090509","U","2019-12-28 02:40:00.0","","194632.526367463    ","446401.926526228    ","부속의원","6","0","0","1499","101","내과","","","","0","0","","","0",""
"3180000","PHMA319993180034041300001","19990501","","01","영업/정상","13","영업중","","","","","02-2076-4047","","150743","서울특별시 영등포구 여의도동 27번지","서울특별시 영등포구 여의대로 38 (여의도동)","07321","금융감독원부속치과의원","20190412024313","U","2019-04-14 02:40:00.0","","192976.019743053    ","446761.108856206    ","부속의원","1","0","0","0","401","치과","","","","0","0","","","0",""
"3180000","PHMA320003180034041300001","20001026","","01","영업/정상","13","영업중","","","","","788-2822","","150758","서울특별시 영등포구 여의도동 36번지 3호","서울특별시 영등포구 국제금융로8길 26 (여의도동)","07331","국민은행부속치과의원","20180329175311","I","2018-08-31 23:59:59.0","","193555.404623589    ","446518.232651645    ","부속의원","1","0","0","53","411 408","구강내과 예방치과","","","","0","0","","","0",""
"3180000","PHMA320013180034041300001","20001026","","01","영업/정상","13","영업중","","","","","02-788-3495","","150701","서울특별시 영등포구 여의도동 1번지","서울특별시 영등포구 의사당대로 1 (여의도동)","07233","국회사무처부속의원","20190524110414","U","2019-05-26 02:40:00.0","","192450.93552236     ","447649.476828035    ","부속의원","5","0","0","0","101","내과","","","","0","0","","","0",""
"3180000","PHMA320013180034041300002","20010725","","01","영업/정상","13","영업중","","","","","788-2823","","","서울 영등포구 여의도동 1","서울특별시 영등포구 의사당대로 1 (여의도동)","07233","국회사무처부속치과의원","20170905183917","I","2018-08-31 23:59:59.0","","192450.93552236     ","447649.476828035    ","부속의원","1","0","0","0","401","치과","","","","0","0","","","0",""
"3180000","PHMA320043180034041300001","20040602","","01","영업/정상","13","영업중","","","","","787-6412","","150873","서울특별시 영등포구 여의도동 16번지 8층","서울특별시 영등포구 은행로 22 8층 (여의도동)","07242","한국산업은행부속치과의원","20171010094641","I","2018-08-31 23:59:59.0","","193039.952033563    ","447284.13571441     ","부속의원","1","0","0","125","411 410 409 408 407 406 405 404 403 402","구강악안면외과 치과보철과 치과교정과 소아치과 치주과 치과보존과 구강내과 영상치의학과 구강병리과 예방치과","","","","0","0","","","0",""
"3180000","PHMA319003180034041300005","19000101","","04","취소/말소/만료/정지/중지","24","직권폐업","20150424","","","","","","","서울 영등포구","","","한국방송공사부속치과의원","20150424101151","I","2018-08-31 23:59:59.0","","","","부속의원","1","0","0","0","101","내과","","","","0","0","","","0",""
"3180000","PHMA319843180034041300001","19841228","","04","취소/말소/만료/정지/중지","24","직권폐업","20150209","","","","02-2076-4047","","","서울특별시 영등포구 여의도동   36-2","","","한국주택은행부속의원","20150209172443","I","2018-08-31 23:59:59.0","","","","부속의원","1","0","0","0","101","내과","","","","0","0","","","0",""
"3180000","PHMA319843180034041300002","19841228","","04","취소/말소/만료/정지/중지","24","직권폐업","20150209","","","","02-2076-4047","","","서울특별시 영등포구 여의도동   36-3","","","한국주택은행부속치과의원","20150209172337","I","2018-08-31 23:59:59.0","","","","부속의원","1","0","0","0","101","내과","","","","0","0","","","0",""
"3200000","PHMA320103200033041300002","20100728","","02","휴업","02","휴업","","20101018","20171231","","","","151820","서울특별시 관악구 봉천동 945번지 1호 2층","서울특별시 관악구 남부순환로 1702 2층 (봉천동)","08782","대한의료생협부속한의원","20170330175200","I","2018-08-31 23:59:59.0","","194548.651692342    ","442330.324311379    ","부속의원","1","0","0","239.86","301 302 303 304 305 308 307","사상체질과 침구과 한방신경정신과 한방안?이비인후?피부과 한방소아과 한방부인과 한방내과","","","","0","0","","","0",""
"3200000","PHMA320103200033041300001","20100719","","03","폐업","03","폐업","20100727","","","","","","151839","서울특별시 관악구 청룡동 945번지 1호 2층","서울특별시 관악구 남부순환로 1702 (봉천동2층)","","대한의료소비자 생활협동조합 부속의원","20100728162452","I","2018-08-31 23:59:59.0","","194548.651692342    ","442330.324311379    ","부속의원","1","0","0","239.86","101 102 105","정형외과 신경과 내과","","","","0","0","","","0",""
"3200000","PHMA320103200033041300003","20100802","","03","폐업","03","폐업","20101021","","","","","","151820","서울특별시 관악구 청룡동 1568번지 1호 201호","서울특별시 관악구 쑥고개로 123 (봉천동201호)","","연제의료생협부속한의원","20101021142051","I","2018-08-31 23:59:59.0","","195537.455758615    ","441881.427207575    ","부속의원","1","0","0","73.48","301 304 302 305 303 308","침구과 한방소아과 한방신경정신과 한방부인과 한방안?이비인후?피부과 한방내과","","","","0","0","","","0",""
"3200000","PHMA320103200033041300004","20101025","","03","폐업","03","폐업","20101220","","","","","","151820","서울특별시 관악구 청룡동 1568번지 1호 2층","서울특별시 관악구 쑥고개로 123 (봉천동2층)","","연제의료생협부속한의원","20101220172406","I","2018-08-31 23:59:59.0","","195537.455758615    ","441881.427207575    ","부속의원","1","0","0","73.48","305 302 301 304 306 303 309 308 307","사상체질과 침구과 한방응급과 한방소아과 한방재활의학과 한방안?이비인후?피부과 한방내과 한방부인과 한방신경정신과","","","","0","0","","","0",""
"3200000","PHMA320113200033041300001","20110829","","01","영업/정상","13","영업중","","","","","880-5338","","151742","서울특별시 관악구 신림동 산 56번지 1호 서울대학교","서울특별시 관악구 관악로 1 63동 3층 (신림동)","08826","서울대학교직장부속의원","20190719021312","U","2019-07-21 02:40:00.0","","196139.864969792    ","439023.167125842    ","부속의원","13","0","0","1050","122 114 113 112 110 105 103 101","내과 정신건강의학과 정형외과 산부인과 안과 이비인후과 피부과 가정의학과","","","","0","0","","","0",""
"3200000","PHMA320123200033021300001","20121121","","01","영업/정상","13","영업중","","","","","02-524-1701","","151754","서울특별시 관악구 남현동 사서함 2003-2","서울특별시 관악구 과천대로 851 (남현동 수도방위사령부)","08810","수도방위사령부","20200410092858","U","2020-04-12 02:40:00.0","","198811.570875592    ","440472.087427759    ","군부대시설","1","0","0","200","605","의무대","","","","0","0","","","0",""
"3210000","PHMA320043210034041300001","20040914","","03","폐업","03","폐업","20110509","","","","721-2747","","137855","서울특별시 서초구 서초4동 1303번지 22호 교보타워 3층","서울특별시 서초구 강남대로 465 (서초동교보타워 3층)","","교보생명보험(주)부속의원","20130327094725","I","2018-08-31 23:59:59.0","","202058.674687128    ","444618.16731522     ","부속의원","1","0","0","871.66","122 119 116","영상의학과 진단검사의학과 가정의학과","","","","0","0","","","0",""
"3200000","PHMA320113200033041300002","20111209","","01","영업/정상","13","영업중","","","","","02-880-5338","","151742","서울특별시 관악구 대학동 56번지 1호","서울특별시 관악구 관악로 1 (신림동)","08826","서울대학교직장부속치과의원","20200703024311","U","2019-12-07 00:05:00.0","","196510.431759616","440685.11304384","","","","","","","","","","","","","","","",""
"3180000","PHMA320143180034041300001","20140102","","01","영업/정상","13","영업중","","","","","02-788-3575","","","서울특별시 영등포구 여의도동 1번지 국회의사당 188호 국회의원회관 215호","서울특별시 영등포구 의사당대로 1 (여의도동 국회사무처 188호 국회의원회관 215호)","07233","국회사무처부속한의원","20200906164451","U","2019-12-09 00:08:00.0","","192450.93552236","447649.476828035","","","","","","","","","","","","","","","",""
"3210000","PHMA320073210034041300001","20070720","","03","폐업","03","폐업","20101215","","","","3451-1474","","137072","서울특별시 서초구 서초2동 1321번지 15호 삼성생명서초타워 3층","서울특별시 서초구 서초대로74길 4 (서초동삼성생명서초타워 3층)","","삼성생명부속강남의원","20101215163824","I","2018-08-31 23:59:59.0","","202210.515558775    ","443837.761530409    ","부속의원","1","0","0","773.44","101 116","영상의학과 내과","","","","0","0","","","0",""
"3210000","PHMA320083210034041300002","20081121","","01","영업/정상","13","영업중","","","","","02-772-6154","","137965","서울특별시 서초구  1320번지 10호 지하2층","서울특별시 서초구 서초대로74길 11 (서초동 지하2층)","06620","서초삼성부속치과의원","20200420120441","U","2020-04-22 02:40:00.0","","202305.084677949    ","443831.909375165    ","부속의원","1","0","0","429.8","401","치과","","","","0","0","","","0",""
"3210000","PHMA320133210034021300001","20130128","","01","영업/정상","13","영업중","","","","","","","","서울특별시 서초구 서초동 1497번지 2호","","","정보사 의무대","20130131095248","I","2018-08-31 23:59:59.0","","200306.215263091    ","442918.71052504     ","군부대시설","2","0","0","0","605","의무대","","","","0","0","","","0",""
"3210000","PHMA320143210034041300002","20141203","","01","영업/정상","13","영업중","","","","","02-530-1268","","137735","서울특별시 서초구 서초동 1701번지 1호 동관7층","서울특별시 서초구 서초중앙로 157 (서초동 동관7층)","06594","서울법원종합청사부속의원","20180919133707","U","2018-09-19 23:59:59.0","","200939.262819649    ","443867.172593905    ","부속의원","2","0","0","111.53","101","내과","","","","0","0","","","0",""
"3210000","PHMA320153210034041300001","20151106","","01","영업/정상","13","영업중","","","","","02-6147-3690","","","","서울특별시 서초구 성촌길 34 F동 지1층 (우면동 (주)삼성전자 우면R&D 쎈터)","06765","삼성전자 서울R&D부속의원","20200314011317","U","2020-03-17 02:40:00.0","","202147.00616600000  ","440753.05403500000  ","부속의원","6","0","0","963.95","103 122","정신건강의학과 가정의학과","","","","0","0","","","0",""
"3210000","PHMA320183210034041300001","20180625","","01","영업/정상","13","영업중","","","","","02-2107-0172","","","","서울특별시 서초구 과천대로 870-13 (주)CJ오쇼핑 (방배동)","06761","씨제이이엔엠(CJ ENM)부속의원","20200314021317","U","2020-03-17 02:40:00.0","","198836.324746887    ","440753.993971457    ","부속의원","2","0","0","215.98","101 105 122","내과 정형외과 가정의학과","","","","0","0","","","0",""
"3210000","PHMA320203210034041300001","20200324","","01","영업/정상","13","영업중","","","","","02-3480-1313","","","서울특별시 서초구 서초동 967번지 대법원청사 1층","서울특별시 서초구 서초대로 219 대법원 청사 1층 (서초동)","06590","법원행정처 부속의원","20200402234319","U","2020-04-04 02:40:00.0","","200403.913823457    ","443343.497359744    ","부속의원","2","0","0","83.64","122 101","내과 가정의학과","","","","0","0","","","0",""
"3220000","PHMA320113220033041300003","20110504","","03","폐업","03","폐업","20140919","","","","070-7465-8494","","135545","서울특별시 강남구 논현1동 200번지 7호 어반하이브빌딩 13층","서울특별시 강남구 강남대로 476 (논현동어반하이브빌딩 13층)","","멀츠아시아부속의원","20170306153148","I","2018-08-31 23:59:59.0","","202121.293458771    ","444742.671288826    ","부속의원","2","0","0","13.2","101 113 114","피부과 이비인후과 내과","","","","0","0","","","0",""
"3220000","PHMA320173220033041300003","20170410","","01","영업/정상","13","영업중","","","","","02-3448-8780","","","서울특별시 강남구 도곡동 448번지 2호","서울특별시 강남구 양재천로 163 5층 (도곡동 바디프랜드도곡타워)","06302","바디프랜드부속한의원","20190905224329","U","2019-09-07 02:40:00.0","","203822.388292808    ","442131.941663523    ","부속의원","1","0","0","30.23","308 307 306 305 304 303 302 301","한방내과 한방부인과 한방소아과 한방안?이비인후?피부과 한방신경정신과 한방재활의학과 사상체질과 침구과","","","","0","0","","","0",""
"3220000","PHMA320173220033041300004","20170410","","01","영업/정상","13","영업중","","","","","02-000-0000","","","서울특별시 강남구 대치동 997번지 4호 지하1층","서울특별시 강남구 테헤란로 626 지하1층 (대치동 메디톡스빌딩)","06175","메디톡스부속의원","20170905183919","I","2018-08-31 23:59:59.0","","205799.523483792    ","445229.183382215    ","부속의원","2","0","0","56.52","122 114","피부과 가정의학과","","","","0","0","","","0",""
"3220000","PHMA320173220033041300001","20170306","","01","영업/정상","13","영업중","","","","","02-3448-8980","","","서울특별시 강남구 도곡동 448번지 2호 5층","서울특별시 강남구 양재천로 163 5층 (도곡동 바디프랜드도곡타워)","06302","바디프랜드부속의원","20200717124328","U","2019-12-06 23:09:00.0","","203822.388292808","442131.941663523","","","","","","","","","","","","","","","",""
"3210000","PHMA320083210034041300001","20081121","","01","영업/정상","13","영업중","","","","","02-772-6154","","","서울특별시 서초구 서초동 1320번지 10호 삼성전자빌딩","서울특별시 서초구 서초대로74길 11 삼성전자빌딩 지하22층 (서초동)","06620","서초삼성부속의원","20200731004320","U","2019-12-08 00:02:00.0","","202305.084677949","443831.909375165","","","","","","","","","","","","","","","",""
"3220000","PHMA320183220033041300001","20140922","","01","영업/정상","13","영업중","","","","","070-7565-8494","","","서울특별시 강남구 삼성동 158번지 16호 엔씨타워 I 4층일부","서울특별시 강남구 테헤란로 509 엔씨타워 I 4층일부 (삼성동)","06169","멀츠아시아퍼시픽피티이엘티디(영업소)부속의원","20200807011325","U","2019-12-08 00:09:00.0","","205074.832316057","445067.867476318","","","","","","","","","","","","","","","",""
"3210000","PHMA320153210034041300002","20151123","","01","영업/정상","13","영업중","","","","","02-6147-3699","","","","서울특별시 서초구 성촌길 34 F동 지1층 (우면동 (주)삼성전자 우면R&D 쎈터)","06765","삼성전자 서울R&D부속 치과의원","20200814021328","U","2019-12-07 23:06:00.0","","202147.00616600000","440753.05403500000","","","","","","","","","","","","","","","",""
"3220000","PHMA320173220033041300002","20170410","","01","영업/정상","13","영업중","","","","","02-3448-8980","","","서울특별시 강남구 도곡동 448번지 2호","서울특별시 강남구 양재천로 163 5층 (도곡동 바디프랜드도곡타워)","06302","바디프랜드부속치과의원","20200925191324","U","2019-12-08 22:07:00.0","","203822.388292808","442131.941663523","","","","","","","","","","","","","","","",""
"3230000","PHMA320133230034041300001","20130225","","03","폐업","03","폐업","20161214","","","","02-410-6716","","138763","서울특별시 송파구 방이동 88번지 15호 한국체육대학교","서울특별시 송파구 양재대로 1239 (방이동 한국체육대학교)","05541","한국체육대학교부속의원","20161221132905","I","2018-08-31 23:59:59.0","","211525.928860841    ","446381.991026383    ","부속의원","2","0","0","451.05","120 105 101","내과 정형외과 재활의학과","","","","0","0","","","0",""
"3230000","PHMA320133230034021300001","20130225","","03","폐업","03","폐업","20161214","","","","02-410-6718","","138763","서울특별시 송파구 방이동 88번지 15호 한국체육대학교","서울특별시 송파구 양재대로 1239 (방이동 한국체육대학교)","05541","한국체육대학교부속한의원","20161220112124","I","2018-08-31 23:59:59.0","","211525.928860841    ","446381.991026383    ","부속의원","1","0","0","36.2","303 306","한방재활의학과 한방소아과","","","","0","0","","","0",""
"3230000","PHMA320053230034041301556","20051005","","01","영업/정상","13","영업중","","","","","02-402-9131","","","서울특별시 송파구 문정동 648번지","서울특별시 송파구 정의로 37 (문정동)","05857","서울동부구치소부속의원","20190815234322","U","2019-08-17 02:40:00.0","","210231.99764679     ","442207.174142076    ","부속의원","13","0","0","921.6","125 122 115 114 113 112 107 106 105 104 103 102 101","내과 신경과 정신건강의학과 외과 정형외과 신경외과 흉부외과 안과 이비인후과 피부과 비뇨의학과 가정의학과 응급의학과","","","","0","0","","","0",""
"3230000","PHMA320143230034041300001","20140718","","01","영업/정상","13","영업중","","","","","02-6155-0151","","","","서울특별시 송파구 올림픽로35길 125 B2층 (신천동)","05510","삼성에스디에스(주)부속의원","20190812135637","U","2019-08-14 02:40:00.0","","208808.460094719    ","446014.471916419    ","부속의원","3","0","0","189","101 103 104 112 113 114 122","가정의학과 피부과 이비인후과 안과 외과 정신건강의학과 내과","","","","0","0","","","0",""
"3230000","PHMA320183230034041300001","20180108","","01","영업/정상","13","영업중","","","","","02-2204-2123","","","서울특별시 송파구 문정동 650번지 서울동부지방법원","서울특별시 송파구 법원로 101 서울동부지방법원 331호 (문정동)","05856","서울동부지방법원부속의원","20180125234352","I","2018-08-31 23:59:59.0","","210512.374191828    ","442371.025037035    ","부속의원","2","0","0","66.57","122","가정의학과","","","","0","0","","","0",""
"3240000","PHMA320103240033041300001","20100716","","03","폐업","03","폐업","20101101","","","","","","134843","서울특별시 강동구 성내3동 244번지 (2층)","","","국민의료소비자생활협동조합 부속 한의원","20101122161800","I","2018-08-31 23:59:59.0","","211878.097723811    ","448049.826281484    ","부속의원","1","0","0","189.8","301 302 303 304 305 306 307 308","침구과 사상체질과 한방재활의학과 한방신경정신과 한방안?이비인후?피부과 한방소아과 한방부인과 한방내과","","","","0","0","","","0",""
"3240000","PHMA320183240033041300001","20160407","","01","영업/정상","13","영업중","","","","","02-2145-7070","","","","서울특별시 강동구 상일로6길 26 글로벌엔지니어링센터 B1층 (상일동)","05288","삼성물산부속의원","20180411144216","I","2018-08-31 23:59:59.0","","215423.76462869     ","449636.964226068    ","부속의원","3","0","0","134.04","101 112 113 114 122","가정의학과 피부과 이비인후과 안과 내과","","","","0","0","","","0",""
"3240000","PHMA320183240033041300002","20160407","","01","영업/정상","13","영업중","","","","","02)2145-7101","","","서울특별시 강동구 상일동 500번지 글로벌엔지니어링센터","서울특별시 강동구 상일로6길 26 글로벌엔지니어링센터 B1층 (상일동)","05288","삼성물산부속치과의원","20180411144038","I","2018-08-31 23:59:59.0","","215423.76462869     ","449636.964226068    ","부속의원","1","0","0","135.8","411 409 408 407 406 403 402","구강악안면외과 치과보철과 치주과 치과보존과 구강내과 영상치의학과 예방치과","","","","0","0","","","0",""
"3240000","PHMA320123240033041300001","20120420","","01","영업/정상","13","영업중","","","","","02-2261-7581","","","","서울특별시 강동구 상일로6길 26 지1층 (상일동)","05288","삼성엔지니어링(주) 부속의원","20180208172325","I","2018-08-31 23:59:59.0","","215423.76462869     ","449636.964226068    ","부속의원","3","0","0","153.6","101 103 104 112 113 114 122","가정의학과 피부과 이비인후과 안과 외과 정신건강의학과 내과","","","","0","0","","","0",""
"3230000","PHMA320123230034021300001","20121224","","05","제외/삭제/전출","15","전출","","","","","3403-1701","","","서울특별시 송파구 거여동 138번지 7호 사서함","","","특수전사령부","20200716144502","U","2019-12-06 23:08:00.0","","","","","","","","","","","","","","","","","","",""
"3010000","PHMA320203010033041300001","20200625","","01","영업/정상","13","영업중","","","","","02-6496-2242","","","서울특별시 중구 태평로2가 70번지 5호 해남빌딩 1층","서울특별시 중구 세종대로 64 해남빌딩 1층 (태평로2가)","04526","장금상선(주)부속의원","20200730221315","U","2019-12-08 00:01:00.0","","197876.042588141","451080.109295385","","","","","","","","","","","","","","","",""
"3000000","PHMA319803000034041300001","19801219","20110502","03","폐업","03","폐업","20110502","","","","02-721-2741","","110714","서울특별시 종로구 종로1가 1번지 교보생명빌딩 2층","서울특별시 종로구 종로 1 (종로1가교보생명빌딩 2층)","","교보생명보험㈜ 부속의원","20110502164549","I","2018-08-31 23:59:59.0","","197993.904628438    ","452032.958591394    ","부속의원","4","0","0","669.7","101","내과","","","","0","0","","","0",""
"3000000","PHMA319873000034041300001","19870930","20090331","03","폐업","03","폐업","20090331","","","","02-3702-3394","","110160","공평동100","","","한국스탠다드차다드 제일은행부속의원","20090331151304","I","2018-08-31 23:59:59.0","","","","부속의원","1","0","0","0","101","내과","","","","0","0","","","0",""
"3000000","PHMA319983000034041300001","19980420","20110211","03","폐업","03","폐업","20110210","","","","02-379-9232","","110011","구기동 216","","","청운노인요양원","20110211092813","I","2018-08-31 23:59:59.0","","","","부속의원","1","0","0","0","101","내과","","","","0","0","","","0",""
"3000000","PHMA319843000034041300001","19840817","20090515","03","폐업","03","폐업","20060628","","","","","","110062","서울특별시 종로구 신문로2가 2-64","","","서울특별시 학교보건원","20090515100344","I","2018-08-31 23:59:59.0","","","","부속의원","1","0","0","0","101","내과","","","","0","0","","","0",""
"3000000","PHMA319843000034041300002","19840817","20090515","03","폐업","03","폐업","20060628","","","","","","110062","서울특별시 종로구 신문로2가 2번지 64호","서울특별시 종로구 송월길 48 (신문로2가)","110781","서울특별시 학교보건원치과의원","20090515100829","I","2018-08-31 23:59:59.0","","196999.904314506    ","451972.796117861    ","부속의원","1","0","0","0","401","치과","","","","0","0","","","0",""
"3000000","PHMA320013000034041300002","20010131","20090515","03","폐업","03","폐업","20060124","","","","","","110061","서울특별시 종로구 신문로1가 57번지","서울특별시 종로구 새문안로 75 (신문로1가)","","금호생명보험㈜부속의원","20090515101417","I","2018-08-31 23:59:59.0","","197542.319572426    ","452039.262262313    ","부속의원","1","0","0","0","101","내과","","","","0","0","","","0",""
"3000000","PHMA320163000034041300001","20160816","","01","영업/정상","13","영업중","","","","","02-3781-1004","","","서울특별시 종로구 청진동 188번지","서울특별시 종로구 삼봉로 48 13층 (청진동 시그나타워)","03156","라이나생명보험(주)부속한의원","20170905183935","I","2018-08-31 23:59:59.0","","198166.359660599    ","452193.22830404     ","부속의원","2","0","0","44.55","308 302 301","한방내과 한방부인과 침구과","","","","0","0","","","0",""
"3000000","PHMA320173000034041300001","20070326","","01","영업/정상","13","영업중","","","","","3499-1000","","","서울특별시 종로구 수송동 83번지 1호 수송타워빌딩 2층중 일부","서울특별시 종로구 율곡로2길 19 2층 (수송동 수송타워빌딩)","03143","SK건설부속치과의원","20190118172219","U","2019-01-22 02:40:00.0","","198279.787364709    ","452430.699653992    ","부속의원","3","0","0","250","401","치과","","","","0","0","","","0",""
"3000000","PHMA319723000034041300001","19720218","","01","영업/정상","13","영업중","","","","","02-2011-2596","","110706","서울특별시 종로구 삼청동 25번지 23호","서울특별시 종로구 북촌로 112 (삼청동)","03050","감사원의무실부속의원","20170905183935","I","2018-08-31 23:59:59.0","","198599.124043054    ","453898.945688558    ","부속의원","1","0","0","0","101","내과","","","","0","0","","","0",""
