X좌표(경도),Y좌표(위도),음식점 개수
126.74770000000001 ~ 126.7536,37.45099999999999 ~ 37.455099999999995,0.0
126.74770000000001 ~ 126.7536,37.455099999999995 ~ 37.459199999999996,0.0
126.74770000000001 ~ 126.7536,37.459199999999996 ~ 37.4633,0.0
126.74770000000001 ~ 126.7536,37.4633 ~ 37.4674,0.0
126.74770000000001 ~ 126.7536,37.4674 ~ 37.4715,0.0
126.74770000000001 ~ 126.7536,37.4715 ~ 37.4756,0.0
126.74770000000001 ~ 126.7536,37.4756 ~ 37.479699999999994,0.0
126.74770000000001 ~ 126.7536,37.479699999999994 ~ 37.483799999999995,0.0
126.74770000000001 ~ 126.7536,37.483799999999995 ~ 37.487899999999996,0.0
126.74770000000001 ~ 126.7536,37.487899999999996 ~ 37.492,0.0
126.74770000000001 ~ 126.7536,37.492 ~ 37.4961,0.0
126.74770000000001 ~ 126.7536,37.4961 ~ 37.5002,0.0
126.74770000000001 ~ 126.7536,37.5002 ~ 37.50429999999999,0.0
126.74770000000001 ~ 126.7536,37.50429999999999 ~ 37.508399999999995,0.0
126.74770000000001 ~ 126.7536,37.508399999999995 ~ 37.512499999999996,0.0
126.74770000000001 ~ 126.7536,37.512499999999996 ~ 37.5166,0.0
126.74770000000001 ~ 126.7536,37.5166 ~ 37.5207,0.0
126.74770000000001 ~ 126.7536,37.5207 ~ 37.5248,0.0
126.74770000000001 ~ 126.7536,37.5248 ~ 37.52889999999999,0.0
126.74770000000001 ~ 126.7536,37.52889999999999 ~ 37.532999999999994,0.0
126.74770000000001 ~ 126.7536,37.532999999999994 ~ 37.537099999999995,0.0
126.74770000000001 ~ 126.7536,37.537099999999995 ~ 37.541199999999996,0.0
126.74770000000001 ~ 126.7536,37.541199999999996 ~ 37.5453,0.0
126.74770000000001 ~ 126.7536,37.5453 ~ 37.5494,0.0
126.74770000000001 ~ 126.7536,37.5494 ~ 37.5535,0.0
126.74770000000001 ~ 126.7536,37.5535 ~ 37.557599999999994,0.0
126.74770000000001 ~ 126.7536,37.557599999999994 ~ 37.561699999999995,0.0
126.74770000000001 ~ 126.7536,37.561699999999995 ~ 37.565799999999996,0.0
126.74770000000001 ~ 126.7536,37.565799999999996 ~ 37.5699,0.0
126.74770000000001 ~ 126.7536,37.5699 ~ 37.574,0.0
126.74770000000001 ~ 126.7536,37.574 ~ 37.5781,0.0
126.74770000000001 ~ 126.7536,37.5781 ~ 37.58219999999999,0.0
126.74770000000001 ~ 126.7536,37.58219999999999 ~ 37.586299999999994,0.0
126.74770000000001 ~ 126.7536,37.586299999999994 ~ 37.590399999999995,0.0
126.74770000000001 ~ 126.7536,37.590399999999995 ~ 37.5945,0.0
126.74770000000001 ~ 126.7536,37.5945 ~ 37.5986,0.0
126.74770000000001 ~ 126.7536,37.5986 ~ 37.6027,0.0
126.74770000000001 ~ 126.7536,37.6027 ~ 37.6068,0.0
126.74770000000001 ~ 126.7536,37.6068 ~ 37.610899999999994,0.0
126.74770000000001 ~ 126.7536,37.610899999999994 ~ 37.614999999999995,0.0
126.74770000000001 ~ 126.7536,37.614999999999995 ~ 37.619099999999996,0.0
126.74770000000001 ~ 126.7536,37.619099999999996 ~ 37.6232,0.0
126.74770000000001 ~ 126.7536,37.6232 ~ 37.6273,0.0
126.74770000000001 ~ 126.7536,37.6273 ~ 37.6314,0.0
126.74770000000001 ~ 126.7536,37.6314 ~ 37.63549999999999,0.0
126.74770000000001 ~ 126.7536,37.63549999999999 ~ 37.639599999999994,0.0
126.74770000000001 ~ 126.7536,37.639599999999994 ~ 37.643699999999995,0.0
126.74770000000001 ~ 126.7536,37.643699999999995 ~ 37.6478,0.0
126.74770000000001 ~ 126.7536,37.6478 ~ 37.6519,0.0
126.74770000000001 ~ 126.7536,37.6519 ~ 37.656,0.0
126.74770000000001 ~ 126.7536,37.656 ~ 37.6601,0.0
126.74770000000001 ~ 126.7536,37.6601 ~ 37.664199999999994,0.0
126.74770000000001 ~ 126.7536,37.664199999999994 ~ 37.668299999999995,0.0
126.74770000000001 ~ 126.7536,37.668299999999995 ~ 37.672399999999996,0.0
126.74770000000001 ~ 126.7536,37.672399999999996 ~ 37.6765,0.0
126.74770000000001 ~ 126.7536,37.6765 ~ 37.6806,0.0
126.74770000000001 ~ 126.7536,37.6806 ~ 37.6847,0.0
126.74770000000001 ~ 126.7536,37.6847 ~ 37.68879999999999,0.0
126.74770000000001 ~ 126.7536,37.68879999999999 ~ 37.692899999999995,0.0
126.74770000000001 ~ 126.7536,37.692899999999995 ~ 37.696999999999996,0.0
126.74770000000001 ~ 126.7536,37.696999999999996 ~ 37.7011,0.0
126.74770000000001 ~ 126.7536,37.7011 ~ 37.7052,0.0
126.74770000000001 ~ 126.7536,37.7052 ~ 37.7093,0.0
126.74770000000001 ~ 126.7536,37.7093 ~ 37.7134,0.0
126.74770000000001 ~ 126.7536,37.7134 ~ 37.717499999999994,0.0
126.7536 ~ 126.7595,37.41 ~ 37.4141,0.0
126.7536 ~ 126.7595,37.4141 ~ 37.4182,0.0
126.7536 ~ 126.7595,37.4182 ~ 37.4223,0.0
126.7536 ~ 126.7595,37.4223 ~ 37.426399999999994,0.0
126.7536 ~ 126.7595,37.426399999999994 ~ 37.430499999999995,0.0
126.7536 ~ 126.7595,37.430499999999995 ~ 37.434599999999996,0.0
126.7536 ~ 126.7595,37.434599999999996 ~ 37.4387,0.0
126.7536 ~ 126.7595,37.4387 ~ 37.4428,0.0
126.7536 ~ 126.7595,37.4428 ~ 37.4469,0.0
126.7536 ~ 126.7595,37.4469 ~ 37.45099999999999,0.0
126.7536 ~ 126.7595,37.45099999999999 ~ 37.455099999999995,0.0
126.7536 ~ 126.7595,37.455099999999995 ~ 37.459199999999996,0.0
126.7536 ~ 126.7595,37.459199999999996 ~ 37.4633,0.0
126.7536 ~ 126.7595,37.4633 ~ 37.4674,0.0
126.7536 ~ 126.7595,37.4674 ~ 37.4715,0.0
126.7536 ~ 126.7595,37.4715 ~ 37.4756,0.0
126.7536 ~ 126.7595,37.4756 ~ 37.479699999999994,0.0
126.7536 ~ 126.7595,37.479699999999994 ~ 37.483799999999995,0.0
126.7536 ~ 126.7595,37.483799999999995 ~ 37.487899999999996,0.0
126.7536 ~ 126.7595,37.487899999999996 ~ 37.492,0.0
126.7536 ~ 126.7595,37.492 ~ 37.4961,0.0
126.7536 ~ 126.7595,37.4961 ~ 37.5002,0.0
126.7536 ~ 126.7595,37.5002 ~ 37.50429999999999,0.0
126.7536 ~ 126.7595,37.50429999999999 ~ 37.508399999999995,0.0
126.7536 ~ 126.7595,37.508399999999995 ~ 37.512499999999996,0.0
126.7536 ~ 126.7595,37.512499999999996 ~ 37.5166,0.0
126.7536 ~ 126.7595,37.5166 ~ 37.5207,0.0
126.7536 ~ 126.7595,37.5207 ~ 37.5248,0.0
126.7536 ~ 126.7595,37.5248 ~ 37.52889999999999,0.0
126.7536 ~ 126.7595,37.52889999999999 ~ 37.532999999999994,0.0
126.7536 ~ 126.7595,37.532999999999994 ~ 37.537099999999995,0.0
126.7536 ~ 126.7595,37.537099999999995 ~ 37.541199999999996,0.0
126.7536 ~ 126.7595,37.541199999999996 ~ 37.5453,0.0
126.7536 ~ 126.7595,37.5453 ~ 37.5494,0.0
126.7536 ~ 126.7595,37.5494 ~ 37.5535,0.0
126.7536 ~ 126.7595,37.5535 ~ 37.557599999999994,0.0
126.7536 ~ 126.7595,37.557599999999994 ~ 37.561699999999995,0.0
126.7536 ~ 126.7595,37.561699999999995 ~ 37.565799999999996,0.0
126.7536 ~ 126.7595,37.565799999999996 ~ 37.5699,0.0
126.7536 ~ 126.7595,37.5699 ~ 37.574,0.0
126.7536 ~ 126.7595,37.574 ~ 37.5781,0.0
126.7536 ~ 126.7595,37.5781 ~ 37.58219999999999,0.0
126.7536 ~ 126.7595,37.58219999999999 ~ 37.586299999999994,0.0
126.7536 ~ 126.7595,37.586299999999994 ~ 37.590399999999995,0.0
126.7536 ~ 126.7595,37.590399999999995 ~ 37.5945,0.0
126.7536 ~ 126.7595,37.5945 ~ 37.5986,0.0
126.7536 ~ 126.7595,37.5986 ~ 37.6027,0.0
126.7536 ~ 126.7595,37.6027 ~ 37.6068,0.0
126.7536 ~ 126.7595,37.6068 ~ 37.610899999999994,0.0
126.7536 ~ 126.7595,37.610899999999994 ~ 37.614999999999995,0.0
126.7536 ~ 126.7595,37.614999999999995 ~ 37.619099999999996,0.0
126.7536 ~ 126.7595,37.619099999999996 ~ 37.6232,0.0
126.7536 ~ 126.7595,37.6232 ~ 37.6273,0.0
126.7536 ~ 126.7595,37.6273 ~ 37.6314,0.0
126.7536 ~ 126.7595,37.6314 ~ 37.63549999999999,0.0
126.7536 ~ 126.7595,37.63549999999999 ~ 37.639599999999994,0.0
126.7536 ~ 126.7595,37.639599999999994 ~ 37.643699999999995,0.0
126.7536 ~ 126.7595,37.643699999999995 ~ 37.6478,0.0
126.7536 ~ 126.7595,37.6478 ~ 37.6519,0.0
126.7536 ~ 126.7595,37.6519 ~ 37.656,0.0
126.7536 ~ 126.7595,37.656 ~ 37.6601,0.0
126.7536 ~ 126.7595,37.6601 ~ 37.664199999999994,0.0
126.7536 ~ 126.7595,37.664199999999994 ~ 37.668299999999995,0.0
126.7536 ~ 126.7595,37.668299999999995 ~ 37.672399999999996,0.0
126.7536 ~ 126.7595,37.672399999999996 ~ 37.6765,0.0
126.7536 ~ 126.7595,37.6765 ~ 37.6806,0.0
126.7536 ~ 126.7595,37.6806 ~ 37.6847,0.0
126.7536 ~ 126.7595,37.6847 ~ 37.68879999999999,0.0
126.7536 ~ 126.7595,37.68879999999999 ~ 37.692899999999995,0.0
126.7536 ~ 126.7595,37.692899999999995 ~ 37.696999999999996,0.0
126.7536 ~ 126.7595,37.696999999999996 ~ 37.7011,0.0
126.7536 ~ 126.7595,37.7011 ~ 37.7052,0.0
126.7536 ~ 126.7595,37.7052 ~ 37.7093,0.0
126.7536 ~ 126.7595,37.7093 ~ 37.7134,0.0
126.7536 ~ 126.7595,37.7134 ~ 37.717499999999994,0.0
126.7595 ~ 126.7654,37.41 ~ 37.4141,0.0
126.7595 ~ 126.7654,37.4141 ~ 37.4182,0.0
126.7595 ~ 126.7654,37.4182 ~ 37.4223,0.0
126.7595 ~ 126.7654,37.4223 ~ 37.426399999999994,0.0
126.7595 ~ 126.7654,37.426399999999994 ~ 37.430499999999995,0.0
126.7595 ~ 126.7654,37.430499999999995 ~ 37.434599999999996,0.0
126.7595 ~ 126.7654,37.434599999999996 ~ 37.4387,0.0
126.7595 ~ 126.7654,37.4387 ~ 37.4428,0.0
126.7595 ~ 126.7654,37.4428 ~ 37.4469,0.0
126.7595 ~ 126.7654,37.4469 ~ 37.45099999999999,0.0
126.7595 ~ 126.7654,37.45099999999999 ~ 37.455099999999995,0.0
126.7595 ~ 126.7654,37.455099999999995 ~ 37.459199999999996,0.0
126.7595 ~ 126.7654,37.459199999999996 ~ 37.4633,0.0
126.7595 ~ 126.7654,37.4633 ~ 37.4674,0.0
126.7595 ~ 126.7654,37.4674 ~ 37.4715,0.0
126.7595 ~ 126.7654,37.4715 ~ 37.4756,0.0
