"개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","전화번호","소재지면적","소재지우편번호","지번주소","도로명주소","도로명우편번호","사업장명","최종수정일자","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보(X)","좌표정보(Y)","위생업태명","남성종사자수","여성종사자수","영업장주변구분명","등급구분명","급수시설구분명","총인원","본사종업원수","공장사무직종업원수","공장판매직종업원수","공장생산직종업원수","건물소유구분명","보증액","월세액","다중이용업소여부","시설총규모","전통업소지정번호","전통업소주된음식","홈페이지"
"3100000","3100000-105-2005-00020","20050329","","03","폐업","02","폐업","20200716","","","","948 3353","9.11","139773","서울특별시 노원구 공릉동 81 태강아파트관리동","서울특별시 노원구 공릉로34길 62 2층 (공릉동 태강아파트관리동)","01820","미광어린이집","20200716174758","U","2019-12-06 23:08:00.0","어린이집","207274.300313358","457909.125969428","","","","","","","","","","","","","","","","","","",""
"3240000","3240000-105-2005-00045","20050415","","01","영업/정상","01","영업","","","","","02 4848535","13.20","134867","서울특별시 강동구 천호동 302-10","서울특별시 강동구 구천면로39길 26 (천호동)","05321","오송유치원","20200720164810","U","2019-12-06 22:02:00.0","어린이집","211587.553317787","449296.12425239","","","","","","","","","","","","","","","","","","",""
"3240000","3240000-105-2005-00048","20050415","","01","영업/정상","01","영업","","","","","02 4701633","22.22","134871","서울특별시 강동구 천호동 397-413","서울특별시 강동구 구천면로 236-1 (천호동)","05334","(재)천주교서울대교구유지재단 천호유치원","20200720163932","U","2019-12-06 22:02:00.0","어린이집","211542.716866221","448803.020606903","","","","","","","","","","","","","","","","","","",""
"3240000","3240000-105-2005-00011","20050201","","01","영업/정상","01","영업","","","","","02 4772141","50.00","134868","서울특별시 강동구 천호동 340-39","서울특별시 강동구 구천면로17길 22 (천호동)","05246","구립빗살어린이집","20200720164442","U","2019-12-06 22:02:00.0","어린이집","210858.378899555","448940.550939362","","","","","","","","","","","","","","","","","","",""
"3130000","3130000-105-2018-00005","20180308","","01","영업/정상","01","영업","","","","","","150.72","121838","서울특별시 마포구 서교동 354-5번지 RYSE","서울특별시 마포구 양화로 130 서교호텔 지하2층 (서교동)","04038","(주)아주호텔서교","20200602105956","U","2019-12-06 00:04:00.0","기타 집단급식소","192971.947727746","450243.232547428","","","","","","","","","","","","","","","","","","",""
"3150000","3150000-105-2017-00032","20171208","","01","영업/정상","01","영업","","","","","","32.19","157210","서울특별시 강서구 마곡동 748번지 마곡13단지힐스테이트마스터 (지상 1층)","서울특별시 강서구 마곡중앙1로 71 공항동 1층 (마곡동 마곡13단지힐스테이트마스터)","07809","마곡13하나어린이집","20200602154801","U","2019-12-06 00:04:00.0","어린이집","183912","450740","","","","","","","","","","","","","","","","","","",""
"3050000","3050000-105-2020-00003","20200714","","01","영업/정상","01","영업","","","","","","80.00","130883","서울특별시 동대문구 답십리동 36-32","서울특별시 동대문구 답십리로48길 56 (답십리동)","02615","라온유치원","20200924101848","U","2019-12-08 22:06:00.0","어린이집","205018.522958209","451998.971806593","","","","","","","","","","","","","","","","","","",""
"3150000","3150000-105-2016-00007","20160527","","01","영업/정상","01","영업","","","","","02  26656300","9.90","157280","서울특별시 강서구 내발산동 740-1 (발산1동)","서울특별시 강서구 수명로1길 133 (내발산동 발산1동)","07630","하나린어린이집","20200717173712","U","2019-12-06 23:09:00.0","어린이집","184511.392478937","450198.00500172","","","","","","","","","","","","","","","","","","",""
"3000000","3000000-105-2010-00001","20100219","","01","영업/정상","01","영업","","","","","69252881",".00","110804","서울특별시 종로구 구기동 139-11","서울특별시 종로구 비봉길 48 (구기동)","03001","전주시(전주풍남학사)","20200721145706","U","2019-12-06 22:03:00.0","학교","196066.422789024","456738.077295995","","","","","","","","","","","","","","","","","","",""
"3190000","3190000-105-2009-00002","20090424","","03","폐업","02","폐업","20200721","","","","02   5968425","974.11","156080","서울특별시 동작구 동작동 102-60","서울특별시 동작구 동작대로41길 7 (동작동)","06994","하랑숲 유치원","20200721154055","U","2019-12-06 22:03:00.0","어린이집","198322.000995831","443757.095585753","","","","","","","","","","","","","","","","","","",""
"3150000","3150000-105-2008-00015","20080901","","01","영업/정상","01","영업","","","","","0226560190","336.80","157230","서울특별시 강서구 개화동 388-1 외 202필지 (지하1층)","서울특별시 강서구 개화동로8길 38 지하 1층 (개화동 2동 개화역)","07505","서울시메트로구호선 주식회사","20200721110624","U","2019-12-06 22:03:00.0","산업체","181881.234660314","453174.899157458","","","","","","","","","","","","","","","","","","",""
"3110000","3110000-105-2020-00027","20200722","","01","영업/정상","01","영업","","","","","",".00","122901","서울특별시 은평구 역촌동 66-11 역촌2동구립어린이집","서울특별시 은평구 연서로3길 14-5 역촌2동구립어린이집 (역촌동)","03418","구립역촌2어린이집","20200722150443","I","2019-12-06 22:04:00.0","어린이집","192331.582852737","455595.943326938","","","","","","","","","","","","","","","","","","",""
"3010000","3010000-105-2020-00005","20200722","","01","영업/정상","01","영업","","","","","0222346840","80.88","100870","서울특별시 중구 황학동 1457 황학동어린이집","서울특별시 중구 난계로15길 23 황학동어린이집 (황학동)","04574","황학어린이집","20200722172340","I","2019-12-06 22:04:00.0","어린이집","201903.052184536","451829.96432958","","","","","","","","","","","","","","","","","","",""
"3240000","3240000-105-2020-00001","20200110","","01","영업/정상","01","영업","","","","","","16.00","134807","서울특별시 강동구 고덕동 212 고덕그라시움아파트","서울특별시 강동구 고덕로 333 113동 1층 (고덕동 고덕그라시움아파트)","05224","구립그라시움 은빛어린이집","20200722153624","U","2019-12-06 22:04:00.0","어린이집","214687.925330994","450626.949692536","","","","","","","","","","","","","","","","","","",""
"3240000","3240000-105-2019-00011","20191203","","01","영업/정상","01","영업","","","","","",".00","134807","서울특별시 강동구 고덕동 212 고덕그라시움아파트","서울특별시 강동구 고덕로 333 140동 1층 (고덕동 고덕그라시움아파트)","05224","구립그라시움별빛어린이집","20200722154749","U","2019-12-06 22:04:00.0","어린이집","214687.925330994","450626.949692536","","","","","","","","","","","","","","","","","","",""
"3240000","3240000-105-2019-00010","20191128","","01","영업/정상","01","영업","","","","","02  34270257",".00","134807","서울특별시 강동구 고덕동 212 고덕그라시움아파트","서울특별시 강동구 고덕로 333 119동 1층 (고덕동 고덕그라시움아파트)","05224","구립그라시움물빛어린이집","20200722153902","U","2019-12-06 22:04:00.0","어린이집","214687.925330994","450626.949692536","","","","","","","","","","","","","","","","","","",""
"3240000","3240000-105-2018-00014","20180822","","01","영업/정상","01","영업","","","","","02  30138255","7.80","134858","서울특별시 강동구 암사동 478-53 루하마어린이집","서울특별시 강동구 구천면로53가길 1 루하마어린이집 3층 (암사동)","05259","루하마어린이집","20200722164329","U","2019-12-06 22:04:00.0","어린이집","211958.602383717","449784.30911008","","","","","","","","","","","","","","","","","","",""
"3240000","3240000-105-2018-00002","20180305","","01","영업/정상","01","영업","","","","","",".00","134836","서울특별시 강동구 상일동 134 고덕숲아이파크","서울특별시 강동구 고덕로80길 134 1층 (상일동 고덕숲아이파크)","05277","구립고덕숲어린이집","20200722161819","U","2019-12-06 22:04:00.0","어린이집","214482.383705","449881.708632","","","","","","","","","","","","","","","","","","",""
"3240000","3240000-105-2015-00001","20150327","","01","영업/정상","01","영업","","","","","02429 7787",".00","134855","서울특별시 강동구 암사동 450-24","서울특별시 강동구 고덕로27길 33-19 1층 (암사동)","05237","구립동심어린이집","20200722164048","U","2019-12-06 22:04:00.0","어린이집","212070.726326898","450438.831681498","","","","","","","","","","","","","","","","","","",""
"3240000","3240000-105-2005-00050","20050707","","01","영업/정상","01","영업","","","","","02  428 3151","13.20","134806","서울특별시 강동구 고덕동 501-1","서울특별시 강동구 동남로81길 16 (고덕동)","05226","세정어린이집","20200722163024","U","2019-12-06 22:04:00.0","어린이집","213691.563586895","450942.046172214","","","","","","","","","","","","","","","","","","",""
"3240000","3240000-105-2005-00004","20050128","","01","영업/정상","01","영업","","","","","02 4273102","21.99","134803","서울특별시 강동구 고덕동 258-7","서울특별시 강동구 동남로82길 83 (고덕동)","05219","구립고덕2동어린이집","20200722163316","U","2019-12-06 22:04:00.0","어린이집","214220.311769636","450955.929205459","","","","","","","","","","","","","","","","","","",""
"3110000","3110000-105-2004-00009","20040604","","03","폐업","02","폐업","20200722","","","","02 3528663","12.16","122901","서울특별시 은평구 역촌동 66-11","서울특별시 은평구 연서로3길 14-5 (역촌동)","03418","구립역촌2동어린이집","20200722143923","U","2019-12-06 22:04:00.0","어린이집","192331.582852737","455595.943326938","","","","","","","","","","","","","","","","","","",""
"3190000","3190000-105-2011-00003","20110110","","01","영업/정상","01","영업","","","","","02  34081234","68.88","156816","서울특별시 동작구 사당동 147-29번지","서울특별시 동작구 사당로 300 (사당동)","07013","(주)이마트 이수점","20200602092353","U","2019-12-06 00:04:00.0","산업체","198202.472533419","442471.241038085","","","","","","","","","","","","","","","","","","",""
"3200000","3200000-105-2005-00042","20050630","","03","폐업","02","폐업","20200602","","","","0266716002","32.48","151050","서울특별시 관악구 봉천동 1712번지","서울특별시 관악구 성현로 80 (봉천동)","08725","소슬어린이집","20200602103440","U","2019-12-06 00:04:00.0","어린이집","195563.161650411","443064.437566493","","","","","","","","","","","","","","","","","","",""
"3200000","3200000-105-2005-00043","20050630","","03","폐업","02","폐업","20200602","","","","0266716001","32.48","151050","서울특별시 관악구 봉천동 1712번지","서울특별시 관악구 성현로 80 (봉천동)","08725","새소슬유치원","20200602105026","U","2019-12-06 00:04:00.0","어린이집","195563.161650411","443064.437566493","","","","","","","","","","","","","","","","","","",""
"3150000","3150000-105-2020-00015","20200717","","01","영업/정상","01","영업","","","","","07046806178","69.52","157210","서울특별시 강서구 마곡동 800-5 (지상 4층)","서울특별시 강서구 공항대로 228 4층 (마곡동)","07806","무척바른한방병원","20200901113551","U","2019-12-09 00:03:00.0","병원","","","","","","","","","","","","","","","","","","","","",""
"3100000","3100000-105-2013-00021","20130529","","01","영업/정상","01","영업","","","","","02 9376900","94.00","139831","서울특별시 노원구 상계동 771-1번지","서울특별시 노원구 덕릉로70가길 45 (상계동)","01772","성모자애드림힐","20200604142321","U","2019-12-06 00:06:00.0","사회복지시설","205071.864337406","460063.379471642","","","","","","","","","","","","","","","","","","",""
"3160000","3160000-105-2005-00037","20050704","","01","영업/정상","01","영업","","","","","02866 0779","16.50","152020","서울특별시 구로구 가리봉동 771-1번지 파니파니어린이집","서울특별시 구로구 구로동로7길 27 (가리봉동)","08321","예뜰어린이집","20200604163459","U","2019-12-06 00:06:00.0","어린이집","189726.958536099","442650.687426511","","","","","","","","","","","","","","","","","","",""
"3000000","3000000-105-1989-00079","19891229","","01","영업/정상","01","영업","","","","","02 3594282","10.00","110831","서울특별시 종로구 신영동 178번지","서울특별시 종로구 세검정로7가길 15-1 A동 지4층 (신영동)","03015","사회복지법인 선덕원","20200604112155","U","2019-12-06 00:06:00.0","사회복지시설","196329.914188485","455492.749333502","","","","","","","","","","","","","","","","","","",""
"3150000","3150000-105-2015-00016","20150617","","03","폐업","02","폐업","20200603","","","","0226069788","10.00","157895","서울특별시 강서구 화곡동 50-76번지 지상4층","서울특별시 강서구 초록마을로11길 28 4층 (화곡동 본동)","07677","화곡본어린이집","20200603144648","U","2019-12-06 00:05:00.0","어린이집","186632.286565924","449036.830602585","","","","","","","","","","","","","","","","","","",""
"3130000","3130000-105-2009-00002","20090211","","03","폐업","02","폐업","20200603","","","","02 3061896","20.00","121850","서울특별시 마포구 성산동 446번지 성산시영아파트","서울특별시 마포구 월드컵북로 233-1 (성산동 성산시영아파트)","03936","서울유치원","20200603100204","U","2019-12-06 00:05:00.0","어린이집","191263.451931121","452207.500653521","","","","","","","","","","","","","","","","","","",""
"3230000","3230000-105-2005-00015","20050630","","01","영업/정상","01","영업","","","","","02 4219489","","138841","서울특별시 송파구 삼전동 172번지 삼전종합사회복지관","서울특별시 송파구 백제고분로32길 35 1층 (삼전동)","05598","삼전어린이집","20200603101312","U","2019-12-06 00:05:00.0","어린이집","208326.213053964","444106.176463815","","","","","","","","","","","","","","","","","","",""
"3100000","3100000-105-2005-00067","20050627","","03","폐업","02","폐업","20200603","","","","02 9733053","74.40","139800","서울특별시 노원구 공릉동 77번지","서울특별시 노원구 공릉로42길 49 (공릉동)","01817","공릉2동어린이집(구립)","20200603133715","U","2019-12-06 00:05:00.0","어린이집","207201.056224026","458030.004849997","","","","","","","","","","","","","","","","","","",""
"3150000","3150000-105-2020-00009","20200519","","01","영업/정상","01","영업","","","","","0226991921","203.58","157892","서울특별시 강서구 화곡동 453-16번지","서울특별시 강서구 곰달래로31다길 25 (화곡동)","07745","구립 신태양어린이집","20200605152342","U","2019-12-06 00:07:00.0","어린이집","186905.747543212","447942.134584991","","","","","","","","","","","","","","","","","","",""
"3200000","3200000-105-2020-00006","20200407","","01","영업/정상","01","영업","","","","","","16.00","151050","서울특별시 관악구 봉천동 1717-2번지 은비유치원","서울특별시 관악구 청림5길 22 은비유치원 (봉천동)","08734","서울청림유치원","20200605103654","U","2019-12-06 00:07:00.0","어린이집","196397.905501095","442991.812973314","","","","","","","","","","","","","","","","","","",""
"3220000","3220000-105-2017-00009","20170516","","03","폐업","02","폐업","20200605","","","","",".00","135908","서울특별시 강남구 역삼동 627-8번지","서울특별시 강남구 테헤란로25길 53 (역삼동)","06126","이베이코리아 베이트리 어린이집","20200605173114","U","2019-12-06 00:07:00.0","어린이집","202947.544803862","444642.117129592","","","","","","","","","","","","","","","","","","",""
"3100000","3100000-105-2013-00017","20130403","","03","폐업","02","폐업","20200605","","","","02   9994211","175.20","139848","서울특별시 노원구 월계동 556번지","서울특별시 노원구 초안산로1길 51 (월계동 월계주공아파트 1단지 내)","01881","월계종합사회복지관","20200605160736","U","2019-12-06 00:07:00.0","사회복지시설","204589.830805772","458420.680573706","","","","","","","","","","","","","","","","","","",""
"3010000","3010000-105-1997-00095","19970919","","03","폐업","02","폐업","20200605","","","","0234552783","146.52","100180","서울특별시 중구 다동 39-0번지","서울특별시 중구 청계천로 24 (다동)","04521","(주)한국씨티은행","20200605094131","U","2019-12-06 00:07:00.0","산업체","198181.2456998","451808.048376715","","","","","","","","","","","","","","","","","","",""
"3220000","3220000-105-2015-00010","20150409","","03","폐업","02","폐업","20200608","","","","","230.00","135877","서울특별시 강남구 삼성동 143-44번지","서울특별시 강남구 테헤란로 431 15층 (삼성동 라이언타워)","06159","(주)지이엔터테인먼트","20200608182225","U","2019-12-05 23:00:00.0","산업체","204716.735","444932.66","","","","","","","","","","","","","","","","","","",""
"3220000","3220000-105-2010-00025","20101223","","03","폐업","02","폐업","20200608","","","","02 5572277",".00","135501","서울특별시 강남구 대치동 994-12번지 안순빌딩","서울특별시 강남구 영동대로 213 (대치동안순빌딩)","06283","이와스 대치스쿨","20200608182339","U","2019-12-05 23:00:00.0","산업체","205998.027420327","443964.000765917","","","","","","","","","","","","","","","","","","",""
"3120000","3120000-105-2010-00006","20100706","","01","영업/정상","01","영업","","","","","02 737 5182","30.45","120853","서울특별시 서대문구 홍제동 82번지 한양@단지내 (지상1층)","서울특별시 서대문구 통일로25길 30 (홍제동 한양@단지내 (지상1층))","03730","한양제일유치원","20200608135418","U","2019-12-05 23:00:00.0","어린이집","195259.429272709","453430.811542203","","","","","","","","","","","","","","","","","","",""
"3070000","3070000-105-2005-00033","20050701","","03","폐업","02","폐업","20200608","","","","02 9136861","18.00","136829","서울특별시 성북구 장위동 68-935번지","서울특별시 성북구 장월로 54 (장위동)","02769","앙코아어린이집","20200608141550","U","2019-12-05 23:00:00.0","어린이집","204187.587911318","456491.122117849","","","","","","","","","","","","","","","","","","",""
"3120000","3120000-105-2000-00045","20000411","","03","폐업","02","폐업","20200608","","","","362 4514","721.27","120818","서울특별시 서대문구 북아현동 190-1번지","서울특별시 서대문구 북아현로11가길 7 (북아현동)","03762","추계예술대학교","20200608104058","U","2019-12-05 23:00:00.0","학교","195806.732723093","451160.409173293","","","","","","","","","","","","","","","","","","",""
"3000000","3000000-105-2019-00023","20191216","","01","영업/정상","01","영업","","","","","02  37031114",".00","110061","서울특별시 종로구 신문로1가 57번지 KC Tower(케이씨타워) ","서울특별시 종로구 새문안로 75 KC Tower(케이씨타워) 지하1층 (신문로1가)","03182","김장 법률사무소","20191216145616","I","2019-12-18 00:23:26.0","산업체","197542.319572426    ","452039.262262313    ","산업체","","","","","","","0","","","","","0","0","N","0","","",""
"3000000","3000000-105-2019-00022","20191209","","01","영업/정상","01","영업","","","","","",".00","110041","서울특별시 종로구 누상동 54번지 누상어린이집 ","서울특별시 종로구 옥인길 23-4 누상어린이집 (누상동)","03037","구립 연동 누상어린이집","20200114093727","U","2020-01-16 02:40:00.0","어린이집","197031.702744838    ","453165.57813041     ","어린이집","","","","","","","0","","","","","0","0","N","0","","",""
"3000000","3000000-105-2019-00019","20191115","","01","영업/정상","01","영업","","","","","02  72009770",".00","110140","서울특별시 종로구 수송동 46-1번지 을유문화사 ","서울특별시 종로구 우정국로 51-4 을유문화사 (수송동)","03144","선재어린이집","20191115135127","I","2019-11-17 00:23:16.0","어린이집","198362.067284343    ","452351.296715497    ","어린이집","","","","","","","0","","","","","0","0","N","0","","",""
"3000000","3000000-105-2009-00004","20090428","","01","영업/정상","01","영업","","","","","02  34201105",".00","110450","서울특별시 종로구 원남동 187번지 세중타워 12층 ","서울특별시 종로구 창경궁로 143 세중타워 12층 (원남동)","03136","(주)세중정보기술","20191024125350","I","2019-10-26 00:23:18.0","산업체","199679.470126039    ","452552.332812055    ","산업체","","","","","상수도전용","","","","","","","0","0","N","0","","",""
"3000000","3000000-105-2019-00016","20191004","","01","영업/정상","01","영업","","","","","02  723 0155",".00","110220","서울특별시 종로구 팔판동 5-12번지 삼청 어린이집 ","서울특별시 종로구 삼청로7길 26 삼청 어린이집 (팔판동)","03049","구립삼청어린이집","20191004153714","I","2019-10-06 00:22:43.0","어린이집","198207.612736319    ","453525.319740654    ","어린이집","","","","","상수도전용","","0","","","","","0","0","N","0","","",""
"3000000","3000000-105-2019-00021","20191125","","01","영업/정상","01","영업","","","","","02  21906500",".00","110742","서울특별시 종로구 운니동 98-5번지 삼환빌딩 ","서울특별시 종로구 율곡로 88 삼환빌딩 (운니동)","03131","삼환빌딩","20191125125401","I","2019-11-27 00:23:25.0","산업체","198952.501606235    ","452729.319337378    ","산업체","","","","","","","0","","","","","0","0","N","0","","",""
"3000000","3000000-105-2019-00020","20191119","","01","영업/정상","01","영업","","","","","","","110809","서울특별시 종로구 동숭동 25-1번지 일석 기념관 ","서울특별시 종로구 동숭3길 40 일석 기념관 (동숭동)","03085","서울대학교병원 어린이집","20200113182116","U","2020-01-15 02:40:00.0","어린이집","200356.069139013    ","453400.39302357     ","어린이집","","","","","","","","","","","","","","N","0","","",""
"3000000","3000000-105-2019-00018","20191106","","01","영업/정상","01","영업","","","","","02  3942234",".00","110847","서울특별시 종로구 평창동 398-5번지 ","서울특별시 종로구 평창17길 26 (평창동)","03006","인자인케어센터","20191106110901","I","2019-11-08 00:23:09.0","사회복지시설","196989.378086941    ","456724.709280082    ","사회복지시설","","","","","상수도전용","","0","","","","","0","0","N","0","","",""
"3000000","3000000-105-2019-00017","20191007","","01","영업/정상","01","영업","","","","","",".00","110530","서울특별시 종로구 혜화동 161-4번지 혜화유치원 ","서울특별시 종로구 창경궁로 296 혜화유치원 (혜화동)","03083","혜화유치원","20191007140946","I","2019-10-09 00:22:46.0","어린이집","200205.926809721    ","453839.442363121    ","어린이집","","","","","","","0","","","","","0","0","N","0","","",""
"3000000","3000000-105-2019-00014","20190909","","01","영업/정상","01","영업","","","","","02  738 9868",".00","110054","서울특별시 종로구 사직동 262-57번지 수도사랑의학교 ","서울특별시 종로구 사직로7길 17 수도사랑의학교 (사직동)","03028","수도사랑의학교","20200504192323","U","2020-05-06 02:40:00.0","학교","196854.537875015    ","452502.144310648    ","학교","","","","","","","0","","","","","0","0","N","0","","",""
"3000000","3000000-105-2019-00015","20190916","","01","영업/정상","01","영업","","","","","02  63537730",".00","110450","서울특별시 종로구 원남동 49-17번지 오라카이 대학로 호텔 ","서울특별시 종로구 율곡로 180 오라카이 대학로 호텔 (원남동)","03127","오라카이대학로호텔구내식당","20200115135811","U","2020-01-17 02:40:00.0","산업체","199821.363678095    ","452603.475535058    ","산업체","","","","","상수도전용","","0","","","","","0","0","N","0","","",""
"3000000","3000000-105-2019-00008","20190409","","01","영업/정상","01","영업","","","","","0237873500",".00","110062","서울특별시 종로구 신문로2가 1-160번지 ","서울특별시 종로구 경희궁길 20 (신문로2가)","03175","마이다스에셋자산운용(주)","20190812081557","U","2019-08-14 02:40:00.0","산업체","197409.611304686    ","452180.715601273    ","산업체","","","","","","","0","","","","","0","0","N","0","","",""
"3000000","3000000-105-2019-00010","20190508","","01","영업/정상","01","영업","","","","","02  21483510",".00","110035","서울특별시 종로구 옥인동 45-30번지 종로구보건소 ","서울특별시 종로구 자하문로19길 36 종로구보건소 청운효자동자치회관 (옥인동)","03035","종로구보건소","20200115100746","U","2020-01-17 02:40:00.0","공공기관","197214.599879748    ","453280.072118191    ","공공기관","","","","","상수도전용","","0","","","","자가","0","0","N","0","","",""
"3000000","3000000-105-2019-00011","20190530","","01","영업/정상","01","영업","","","","","",".00","110813","서울특별시 종로구 무악동 60번지 인왕산아이파크 ","서울특별시 종로구 통일로18길 9 (무악동 인왕산아이파크)","03024","구립인왕어린이집","20200114093538","U","2020-01-16 02:40:00.0","어린이집","196171.32627844     ","452746.033013615    ","어린이집","","","","","","","0","","","","","0","0","N","0","","",""
"3000000","3000000-105-2019-00009","20190419","","01","영업/정상","01","영업","","","","","02  765 6205",".00","110808","서울특별시 종로구 돈의동 114-1번지 한국기독교장로회 ","서울특별시 종로구 돈화문로5가길 23 한국기독교장로회 (돈의동)","03139","초동어린이집","20190419114610","I","2019-04-21 02:20:27.0","어린이집","199157.618709768    ","452163.795898405    ","어린이집","","","","","상수도전용","","0","","","","","0","0","N","0","","",""
"3000000","3000000-105-2019-00007","20190405","","01","영업/정상","01","영업","","","","","",".00","110250","서울특별시 종로구 재동 32-10번지 1층 ","서울특별시 종로구 북촌로5길 11 1층 (재동)","03060","롯데백화점 어린이집","20190405175803","I","2019-04-07 02:20:15.0","어린이집","198539.039818284    ","452993.879999601    ","어린이집","","","","","","","0","","","","","0","0","N","0","","",""
